firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro
Otto,Porter Jr.,Georgetown,"[{'teamId': '1610612764', 'seasonStart': '2013', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Bobby,Portis,Arkansas,"[{'teamId': '1610612741', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '22', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Kristaps,Porzingis,,"[{'teamId': '1610612752', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Dwight,Powell,Stanford,"[{'teamId': '1610612738', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612742', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '45', 'roundNum': '2', 'seasonYear': '2014'}",2014,4
Norman,Powell,UCLA,"[{'teamId': '1610612761', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '46', 'roundNum': '2', 'seasonYear': '2015'}",2015,3
Alex,Poythress,Kentucky,"[{'teamId': '1610612755', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612737', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2
Taurean,Prince,Baylor,"[{'teamId': '1610612737', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '12', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Zhou,Qi,,"[{'teamId': '1610612745', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '43', 'roundNum': '2', 'seasonYear': '2016'}",2017,1
Ivan,Rabb,California,"[{'teamId': '1610612763', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '35', 'roundNum': '2', 'seasonYear': '2017'}",2017,1
Chasson,Randle,Stanford,"[{'teamId': '1610612755', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612752', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612764', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,1
